Date,AM12,AM1,AM2,AM3,AM4,AM5,AM6,AM7,AM8,AM9,AM10,AM11,PM12,PM1,PM2,PM3,PM4,PM5,PM6,PM7,PM8,PM9,PM10,PM11
7/20/98,32033,29529,28292,26984,26482,26793,28044,30174,34086,37152,39845,41688,42977,43736,44736,45238,45626,45561,45027,44922,43569,42608,42192,39062
7/21/98,35528,31954,29704,28252,27322,27022,28133,30138,33835,37077,39674,42587,44490,45677,46420,47207,47460,47069,46932,46035,43606,42618,42377,39502
7/22/98,35921,32588,30942,29598,28856,28852,30106,32146,35822,39259,42266,44948,45980,46300,47309,47868,48469,48293,48149,47201,45985,44975,44665,41272
7/23/98,37481,34132,31860,30507,29607,29365,30453,32749,35861,38388,40497,42279,43536,44221,44771,45916,46696,47154,46883,45428,43604,42852,42245,39071
7/24/98,35187,32131,30160,28750,27878,27616,28440,30312,33249,36153,38350,39814,40920,41549,42166,42315,42473,42378,41562,39958,38011,36767,36246,33644
7/25/98,30647,27507,25800,24591,23799,23395,23538,23942,25240,28112,30680,32400,33639,34032,34042,33906,34007,34146,34126,33366,32221,32098,32092,30410
7/26/98,28163,25969,24330,23377,22756,22214,22265,22305,23074,24828,26621,28174,29346,30318,30827,31334,31900,32582,32960,32586,31746,31805,32248,30602
7/27/98,28269,26273,24550,23310,23052,23158,24396,26360,29269,32430,34823,36904,38295,39045,39898,40230,40203,40083,39654,38332,36900,36542,36298,33691
7/28/98,30376,27781,26338,25416,24698,24787,26167,28234,31446,34394,36730,38561,40272,41292,42267,43011,43309,43637,43643,42494,41106,40693,40340,37323
7/29/98,34043,31027,29037,27989,27094,26858,28203,30363,33362,36414,38961,41066,42937,44019,45235,45581,46116,45895,45483,44541,42744,42192,41464,38347
7/30/98,34959,31590,29545,28053,27229,27223,27963,30039,32625,35463,37746,39613,41212,42271,43202,43968,44258,44415,44078,42684,41451,41486,40888,37406
7/31/98,34188,30762,28841,27616,26709,26452,27160,29216,31477,32935,33653,34233,34939,35122,35645,36391,36835,36936,36617,35500,34034,33436,33108,30636
8/1/98,27923,25257,23410,22108,21420,21038,21206,21513,23183,25702,27841,29200,29880,30035,30050,30170,30422,30882,31063,30608,29603,29275,29197,27378
8/2/98,24934,22897,21470,20437,19818,19601,19669,19580,20738,22877,24934,26582,27790,28478,28915,29325,30012,30663,31236,30888,29656,29881,30286,28206
8/3/98,25778,23544,22435,21902,21455,21669,23003,25102,27810,30824,32830,34504,35784,36506,37398,38064,38710,38959,39123,37997,36450,35987,35527,32275
8/4/98,29235,26565,24707,23773,23114,23090,24305,26579,29503,32302,34295,36252,37818,38939,39559,40305,40722,41013,40765,39699,38138,37588,36821,33405
8/5/98,30285,27287,25542,24607,23834,23745,24961,26957,30020,32566,35020,36926,38161,39001,39892,41011,41329,41927,41580,40211,38339,37912,36916,33633
8/6/98,30503,27552,25925,24741,23946,24106,25154,27063,30057,32710,35071,36809,38170,39320,40593,41163,41705,41872,41723,40414,38599,37792,36996,33890
8/7/98,30502,28021,26238,24807,24187,24197,25375,27564,30301,32995,35487,36846,38111,39120,39962,40570,40830,40950,40341,38716,37099,36802,36256,33781
8/8/98,31005,28489,26697,25587,24568,24392,24587,25314,26612,29479,31811,34033,35281,35976,36208,36493,37038,37109,37094,36456,35265,35180,34901,32909
8/9/98,30567,28259,26452,25182,24391,23833,24138,24281,25323,27904,30374,32512,34162,35380,36090,36608,37102,37772,37975,37219,36203,36697,36438,34452
8/10/98,31649,29248,27671,26938,26769,26996,28243,30339,33554,35901,38015,40022,41741,42807,43597,44183,44017,43673,42609,40741,39806,39429,37966,35123
8/11/98,32154,29607,28155,27000,26546,26662,27960,30637,32916,35614,37581,39164,40486,41194,42048,42926,43823,44371,44291,43092,41153,40934,39794,36345
8/12/98,33140,30057,27879,26892,25922,25838,26838,28804,31101,34123,36044,37604,38847,39739,40336,41013,41184,41635,41121,39680,37905,38094,37018,33984
